MAT100,MAT221,KOM321,CLASS
BC,BC,AB,BAIK
A,B,A,BAIK
AB,BC,BC,BAIK
A,AB,B,BAIK
A,BC,D,BAIK
A,A,B,BAIK
AB,BC,BC,BAIK
AB,B,A,BAIK
A,B,AB,BAIK
A,B,C,BAIK
A,A,BC,BAIK
B,BC,C,BAIK
AB,B,AB,BAIK
A,B,AB,BAIK
A,BC,C,BAIK
B,BC,C,BAIK
B,C,C,BAIK
BC,BC,BC,BAIK
A,C,AB,BAIK
AB,B,C,BAIK
A,B,B,BAIK
A,AB,B,BAIK
A,A,B,BAIK
B,BC,BC,BAIK
A,A,A,BAIK
AB,B,BC,BAIK
A,BC,C,BAIK
B,AB,B,BAIK
BC,C,C,BAIK
A,B,C,BAIK
AB,B,BC,BAIK
A,BC,C,BAIK
A,A,A,BAIK
C,BC,C,BAIK
A,AB,AB,BAIK
A,BC,BC,BAIK
A,A,BC,BAIK
BC,BC,C,CUKUP
B,BC,D,CUKUP
C,D,C,CUKUP
AB,BC,BC,CUKUP
BC,BC,C,CUKUP
A,B,B,CUKUP
B,BC,B,CUKUP
AB,B,BC,CUKUP
AB,BC,A,CUKUP
AB,BC,BC,CUKUP
AB,BC,BC,CUKUP
C,D,D,CUKUP
B,B,A,CUKUP
BC,BC,BC,CUKUP
A,C,BC,CUKUP
BC,D,C,CUKUP
D,D,BC,CUKUP
B,C,C,CUKUP
BC,BC,BC,CUKUP
B,BC,BC,CUKUP
BC,BC,C,CUKUP
B,BC,D,CUKUP
A,AB,BC,CUKUP
B,BC,C,CUKUP
AB,C,C,CUKUP
A,A,C,CUKUP
BC,C,C,CUKUP
A,AB,B,CUKUP
A,A,A,CUKUP
BC,BC,C,CUKUP
D,C,C,CUKUP
A,B,B,CUKUP
C,BC,C,CUKUP
A,BC,C,CUKUP
BC,BC,BC,CUKUP
B,C,BC,CUKUP
D,D,E,CUKUP
